response,political
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Apply for citizenship,liberal
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,conservative
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,moderate
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Guest worker,liberal
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,conservative
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,moderate
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Leave the country,liberal
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,conservative
Not sure,moderate
Not sure,moderate
Not sure,moderate
Not sure,moderate
Not sure,liberal
