best_burger_place,gender
Fat Burger,Male
Fat Burger,Male
Fat Burger,Male
Fat Burger,Male
Fat Burger,Male
Fat Burger,Male
Fat Burger,Male
Fat Burger,Male
Fat Burger,Male
Fat Burger,Male
Fat Burger,Female
Fat Burger,Female
Fat Burger,Female
Fat Burger,Female
Fat Burger,Female
Fat Burger,Female
Fat Burger,Female
Fat Burger,Female
Fat Burger,Female
Fat Burger,Female
Fat Burger,Female
Fat Burger,Female
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Male
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Tommy's Hamburgers,Female
Umami Burger,Male
Umami Burger,Male
Umami Burger,Male
Umami Burger,Male
Umami Burger,Male
Umami Burger,Female
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Male
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Other,Female
Not Sure,Male
Not Sure,Male
Not Sure,Male
Not Sure,Male
Not Sure,Male
Not Sure,Male
Not Sure,Male
Not Sure,Male
Not Sure,Male
Not Sure,Male
Not Sure,Male
Not Sure,Male
Not Sure,Male
Not Sure,Female
Not Sure,Female
Not Sure,Female
Not Sure,Female
Not Sure,Female
