party_or_ideology,response
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Earth is warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Not warming
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Conservative Republican,Don't know / refuse to answer
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Earth is warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
Mod/Lib Republican,Not warming
