Year,age
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1995,9
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1994,10
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1993,11
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1992,12
1991,13
1991,13
1991,13
1991,13
1991,13
1991,13
1991,13
1991,13
1991,13
1991,13
1991,13
1991,13
1991,13
1991,13
1991,13
1991,13
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1990,14
1989,15
1989,15
1989,15
1989,15
1989,15
1989,15
1989,15
1989,15
1989,15
1989,15
1989,15
1989,15
1988,16
1988,16
1988,16
1988,16
1988,16
1988,16
1988,16
1988,16
1988,16
1988,16
1987,17
1987,17
1987,17
1987,17
1987,17
1987,17
1987,17
1987,17
1987,17
1987,17
1987,17
1987,17
1986,18
1986,18
1986,18
1986,18
1986,18
1986,18
1986,18
1986,18
1986,18
1986,18
1986,18
1986,18
1986,18
1986,18
1985,19
1985,19
1985,19
1985,19
1985,19
1985,19
1985,19
1985,19
1985,19
1985,19
1985,19
1985,19
1985,19
1985,19
1985,19
1985,19
1984,20
1984,20
1984,20
1984,20
1984,20
1984,20
1984,20
1984,20
1984,20
1984,20
1984,20
1984,20
1984,20
1984,20
1984,20
1984,20
1983,21
1983,21
1983,21
1983,21
1983,21
1983,21
1983,21
1983,21
1983,21
1983,21
1982,22
1982,22
1982,22
1982,22
1982,22
1982,22
1981,23
1981,23
1981,23
1981,23
1981,23
1981,23
1981,23
1981,23
1980,24
1980,24
1980,24
1980,24
1980,24
1980,24
1980,24
1980,24
1979,25
1979,25
1979,25
1979,25
1979,25
1979,25
1978,26
1978,26
1977,27
1977,27
1976,28
1976,28
1976,28
1976,28
1976,28
1976,28
1976,28
1976,28
1976,28
1976,28
1976,28
1976,28
1975,29
1975,29
1974,30
1974,30
1974,30
1974,30
1974,30
1974,30
1974,30
1974,30
1973,31
1973,31
1972,32
1972,32
1971,33
1971,33
1971,33
1971,33
1970,34
1970,34
1970,34
1970,34
1969,35
1969,35
1966,38
1966,38
1960,44
1960,44
1952,52
1952,52
1951,53
1951,53
