answer	party affiliation
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Republican
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Democrat
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
should not	Independent
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Republican
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Democrat
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
do not know / no answer	Independent
